stPoint: 116, ndPoint: 0, Hue: 116
stPoint: 117, ndPoint: 0, Hue: 117
stPoint: 118, ndPoint: 0, Hue: 118
stPoint: 119, ndPoint: 0, Hue: 119
stPoint: 120, ndPoint: 0, Hue: 120
stPoint: 121, ndPoint: 0, Hue: 121
stPoint: 122, ndPoint: 0, Hue: 122
stPoint: 123, ndPoint: 0, Hue: 123
stPoint: 124, ndPoint: 0, Hue: 124
stPoint: 125, ndPoint: 0, Hue: 125
stPoint: 126, ndPoint: 0, Hue: 126
stPoint: 127, ndPoint: 0, Hue: 127
stPoint: 128, ndPoint: 0, Hue: 128
stPoint: 129, ndPoint: 0, Hue: 129
stPoint: 130, ndPoint: 0, Hue: 130
stPoint: 131, ndPoint: 0, Hue: 131
stPoint: 132, ndPoint: 0, Hue: 132
stPoint: 133, ndPoint: 0, Hue: 133
stPoint: 134, ndPoint: 0, Hue: 134
stPoint: 135, ndPoint: 0, Hue: 135
stPoint: 136, ndPoint: 0, Hue: 136
stPoint: 137, ndPoint: 0, Hue: 137
stPoint: 138, ndPoint: 0, Hue: 138
stPoint: 139, ndPoint: 0, Hue: 139
stPoint: 140, ndPoint: 0, Hue: 140
stPoint: 141, ndPoint: 0, Hue: 141
stPoint: 142, ndPoint: 0, Hue: 142
stPoint: 143, ndPoint: 0, Hue: 143
stPoint: 144, ndPoint: 0, Hue: 144
stPoint: 145, ndPoint: 0, Hue: 145
stPoint: 146, ndPoint: 0, Hue: 146
stPoint: 147, ndPoint: 0, Hue: 147
stPoint: 148, ndPoint: 0, Hue: 148
stPoint: 149, ndPoint: 0, Hue: 149
stPoint: 150, ndPoint: 0, Hue: 150
stPoint: 151, ndPoint: 0, Hue: 151
stPoint: 152, ndPoint: 0, Hue: 152
stPoint: 153, ndPoint: 0, Hue: 153
stPoint: 154, ndPoint: 0, Hue: 154
stPoint: 155, ndPoint: 0, Hue: 155
stPoint: 156, ndPoint: 0, Hue: 156
stPoint: 157, ndPoint: 0, Hue: 157
stPoint: 158, ndPoint: 0, Hue: 158
stPoint: 159, ndPoint: 0, Hue: 159
stPoint: 160, ndPoint: 0, Hue: 160
stPoint: 161, ndPoint: 0, Hue: 161
stPoint: 162, ndPoint: 0, Hue: 162
stPoint: 163, ndPoint: 0, Hue: 163
stPoint: 164, ndPoint: 0, Hue: 164
stPoint: 165, ndPoint: 0, Hue: 165
stPoint: 166, ndPoint: 0, Hue: 166
stPoint: 167, ndPoint: 0, Hue: 167
stPoint: 168, ndPoint: 0, Hue: 168
stPoint: 169, ndPoint: 0, Hue: 169
stPoint: 170, ndPoint: 0, Hue: 170
stPoint: 171, ndPoint: 0, Hue: 171
stPoint: 172, ndPoint: 0, Hue: 172
stPoint: 173, ndPoint: 0, Hue: 173
stPoint: 174, ndPoint: 0, Hue: 174
stPoint: 175, ndPoint: 0, Hue: 175
stPoint: 176, ndPoint: 0, Hue: 176
stPoint: 177, ndPoint: 0, Hue: 177
stPoint: 178, ndPoint: 0, Hue: 178
stPoint: 179, ndPoint: 0, Hue: 179
stPoint: 180, ndPoint: 0, Hue: 180
stPoint: 181, ndPoint: 0, Hue: 181
stPoint: 182, ndPoint: 0, Hue: 182
stPoint: 183, ndPoint: 0, Hue: 183
stPoint: 184, ndPoint: 0, Hue: 184
stPoint: 185, ndPoint: 0, Hue: 185
stPoint: 186, ndPoint: 0, Hue: 186
stPoint: 187, ndPoint: 0, Hue: 187
stPoint: 188, ndPoint: 0, Hue: 188
stPoint: 189, ndPoint: 0, Hue: 189
stPoint: 190, ndPoint: 0, Hue: 190
stPoint: 191, ndPoint: 0, Hue: 191
stPoint: 192, ndPoint: 0, Hue: 192
stPoint: 193, ndPoint: 0, Hue: 193
stPoint: 194, ndPoint: 0, Hue: 194
stPoint: 195, ndPoint: 0, Hue: 195
stPoint: 196, ndPoint: 0, Hue: 196
stPoint: 197, ndPoint: 0, Hue: 197
stPoint: 198, ndPoint: 0, Hue: 198
stPoint: 199, ndPoint: 0, Hue: 199
stPoint: 200, ndPoint: 0, Hue: 200
stPoint: 201, ndPoint: 0, Hue: 201
stPoint: 202, ndPoint: 0, Hue: 202
stPoint: 203, ndPoint: 0, Hue: 203
stPoint: 204, ndPoint: 0, Hue: 204
stPoint: 205, ndPoint: 0, Hue: 205
stPoint: 206, ndPoint: 0, Hue: 206
stPoint: 207, ndPoint: 0, Hue: 207
stPoint: 208, ndPoint: 0, Hue: 208
stPoint: 209, ndPoint: 0, Hue: 209
stPoint: 210, ndPoint: 0, Hue: 210
stPoint: 211, ndPoint: 0, Hue: 211
stPoint: 212, ndPoint: 0, Hue: 212
stPoint: 213, ndPoint: 0, Hue: 213
stPoint: 214, ndPoint: 0, Hue: 214
stPoint: 215, ndPoint: 0, Hue: 215
stPoint: 216, ndPoint: 0, Hue: 216
stPoint: 217, ndPoint: 0, Hue: 217
stPoint: 218, ndPoint: 0, Hue: 218
stPoint: 219, ndPoint: 0, Hue: 219
stPoint: 220, ndPoint: 0, Hue: 220
stPoint: 221, ndPoint: 0, Hue: 221
stPoint: 222, ndPoint: 0, Hue: 222
stPoint: 223, ndPoint: 0, Hue: 223
stPoint: 224, ndPoint: 0, Hue: 224
stPoint: 225, ndPoint: 0, Hue: 225
stPoint: 226, ndPoint: 0, Hue: 226
stPoint: 227, ndPoint: 0, Hue: 227
stPoint: 228, ndPoint: 0, Hue: 228
stPoint: 229, ndPoint: 0, Hue: 229
stPoint: 230, ndPoint: 0, Hue: 230
stPoint: 231, ndPoint: 0, Hue: 231
stPoint: 232, ndPoint: 0, Hue: 232
stPoint: 233, ndPoint: 0, Hue: 233
stPoint: 234, ndPoint: 0, Hue: 234
stPoint: 235, ndPoint: 0, Hue: 235
stPoint: 236, ndPoint: 0, Hue: 236
stPoint: 237, ndPoint: 0, Hue: 237
stPoint: 238, ndPoint: 0, Hue: 238
stPoint: 239, ndPoint: 0, Hue: 239
stPoint: 240, ndPoint: 0, Hue: 240
stPoint: 241, ndPoint: 0, Hue: 241
stPoint: 242, ndPoint: 0, Hue: 242
stPoint: 243, ndPoint: 0, Hue: 243
stPoint: 244, ndPoint: 0, Hue: 244
stPoint: 245, ndPoint: 0, Hue: 245
stPoint: 246, ndPoint: 0, Hue: 246
stPoint: 247, ndPoint: 0, Hue: 247
stPoint: 248, ndPoint: 0, Hue: 248
stPoint: 249, ndPoint: 0, Hue: 249
stPoint: 250, ndPoint: 0, Hue: 250
stPoint: 251, ndPoint: 0, Hue: 251
stPoint: 252, ndPoint: 0, Hue: 252
stPoint: 253, ndPoint: 0, Hue: 253
stPoint: 254, ndPoint: 0, Hue: 254
stPoint: 255, ndPoint: 0, Hue: 255
stPoint: 0, ndPoint: 0, Hue: 0
stPoint: 1, ndPoint: 1, Hue: 1
stPoint: 2, ndPoint: 2, Hue: 2
stPoint: 3, ndPoint: 3, Hue: 3
stPoint: 4, ndPoint: 4, Hue: 4
stPoint: 5, ndPoint: 5, Hue: 5
stPoint: 6, ndPoint: 6, Hue: 6
stPoint: 7, ndPoint: 7, Hue: 7
stPoint: 8, ndPoint: 8, Hue: 8
